frame,time_sec,tracked,x,y,anchor
20,0.166666667,0,,,0
21,0.175,0,,,0
22,0.183333333,0,,,0
23,0.191666667,0,,,0
24,0.2,1,1676.923,993.846,1
25,0.208333333,1,1672.159,986.7,0
26,0.216666667,1,1669.978,983.429,0
27,0.225,1,1668.761,978.133,0
28,0.233333333,1,1667.352,971.392,0
29,0.241666667,1,1665.425,965.03,0
30,0.25,1,1667.158,954.904,0
31,0.258333333,1,1667.206,950.349,0
32,0.266666667,1,1652.308,956.923,1
33,0.275,1,1663.32,944.519,0
34,0.283333333,1,1659.223,943.001,0
35,0.291666667,1,1649.555,941.225,0
36,0.3,1,1644.518,937.141,0
37,0.308333333,1,1638.964,933.436,0
38,0.316666667,1,1633.937,929.474,0
39,0.325,1,1631.073,925.425,0
40,0.333333333,1,1627.692,920,1
41,0.341666667,1,1625.96,909.141,0
42,0.35,1,1623.708,901.57,0
43,0.358333333,1,1621.631,886.814,0
44,0.366666667,1,1619.895,883.432,0
45,0.375,1,1618.108,890.228,0
46,0.383333333,1,1617.235,892.044,0
47,0.391666667,1,1616.592,896.573,0
48,0.4,1,1612.308,907.692,1
49,0.408333333,1,1616.092,898.614,0
50,0.416666667,1,1616.151,897.659,0
51,0.425,1,1615.823,896.217,0
52,0.433333333,1,1616.099,895.441,0
53,0.441666667,1,1615.808,897.098,0
54,0.45,1,1614.359,897.765,0
55,0.458333333,1,1612.399,898.785,0
56,0.466666667,1,1610.769,904.615,1
57,0.475,1,1604.627,891.072,0
58,0.483333333,1,1600.632,887.183,0
59,0.491666667,1,1596.982,877.274,0
60,0.5,1,1591.892,877.743,0
61,0.508333333,1,1585.741,888.725,0
62,0.516666667,1,1581.988,894.132,0
63,0.525,1,1578.923,902.536,0
64,0.533333333,1,1587.692,910.769,1
65,0.541666667,1,1570.135,917.315,0
66,0.55,1,1566.891,921.786,0
67,0.558333333,1,1560.268,931.34,0
68,0.566666667,1,1559.784,931.631,0
69,0.575,1,1567.68,922.856,0
70,0.583333333,1,1569.619,920.382,0
71,0.591666667,1,1571.462,916.978,0
72,0.6,1,1570.769,913.846,1
73,0.608333333,1,1571.054,913.49,0
74,0.616666667,1,1569.87,914.085,0
75,0.625,1,1571.865,911.347,0
76,0.633333333,1,1569.595,914.272,0
77,0.641666667,1,1562.468,924.09,0
78,0.65,1,1559.351,928.369,0
79,0.658333333,1,1556.459,932.463,0
80,0.666666667,1,1561.538,933.846,1
81,0.675,1,1555.867,933.49,0
82,0.683333333,1,1557.97,930.764,0
83,0.691666667,1,1560.315,928.932,0
84,0.7,1,1565.624,923.746,0
85,0.708333333,1,1566.501,924.914,0
86,0.716666667,1,1562.607,932.097,0
87,0.725,1,1560.097,935.586,0
88,0.733333333,1,1555.385,947.692,1
89,0.741666667,1,1549.426,941.717,0
90,0.75,1,1548.005,943.591,0
91,0.758333333,1,1545.607,945.312,0
92,0.766666667,1,1543.898,945.788,0
93,0.775,1,1545.062,955.938,0
94,0.783333333,1,1540.569,959.128,0
95,0.791666667,1,1543.077,961.538,1
96,0.8,1,1537.401,964.339,0
97,0.808333333,1,1535.185,964.039,0
98,0.816666667,1,1537.378,964.978,0
99,0.825,1,1539.916,966.351,0
100,0.833333333,1,1541.755,968.499,0
101,0.841666667,1,1547.442,972.516,0
102,0.85,1,1546.46,975.643,0
103,0.858333333,1,1537.712,978.654,0
104,0.866666667,1,1534.241,980.729,0
105,0.875,1,1529.231,987.692,1
106,0.883333333,1,1529.391,977.02,0
107,0.891666667,1,1532.28,971.829,0
108,0.9,1,1537.48,962.543,0
109,0.908333333,1,1541.457,956.363,0
110,0.916666667,1,1547.303,950.48,0
111,0.925,1,1550.537,946.87,0
112,0.933333333,1,1552.071,945.801,0
113,0.941666667,1,1553.222,945,0
114,0.95,1,1551.942,945.789,0
115,0.958333333,1,1550.234,946.842,0
