frame,time_sec,tracked,x,y,anchor
20,0.16666666666666666,0,,,0
21,0.175,0,,,0
22,0.18333333333333332,0,,,0
23,0.19166666666666668,0,,,0
24,0.2,1,1790.769,640.000,1
25,0.20833333333333334,1,1793.710,629.110,0
26,0.21666666666666667,1,1791.593,628.815,0
27,0.225,1,1790.331,628.897,0
28,0.23333333333333334,1,1782.093,633.005,0
29,0.24166666666666667,1,1777.235,638.023,0
30,0.25,1,1775.282,644.031,0
31,0.25833333333333336,1,1762.038,658.296,0
32,0.26666666666666666,1,1749.231,673.846,1
33,0.275,1,1752.354,670.688,0
34,0.2833333333333333,1,1747.587,672.914,0
35,0.2916666666666667,1,1746.363,673.146,0
36,0.3,1,1749.337,669.422,0
37,0.30833333333333335,1,1742.618,670.245,0
38,0.31666666666666665,1,1735.467,680.118,0
39,0.325,1,1730.717,685.372,0
40,0.3333333333333333,1,1723.077,693.846,1
41,0.3416666666666667,1,1720.779,696.832,0
42,0.35,1,1718.138,699.646,0
43,0.35833333333333334,1,1715.577,702.500,0
44,0.36666666666666664,1,1712.224,704.750,0
45,0.375,1,1709.440,707.423,0
46,0.38333333333333336,1,1705.914,708.795,0
47,0.39166666666666666,1,1701.296,708.729,0
48,0.4,1,1703.077,716.923,1
49,0.4083333333333333,1,1697.138,708.132,0
50,0.4166666666666667,1,1695.651,707.150,0
51,0.425,1,1695.433,706.862,0
52,0.43333333333333335,1,1694.778,706.000,0
53,0.44166666666666665,1,1695.312,706.984,0
54,0.45,1,1695.489,707.312,0
55,0.4583333333333333,1,1695.845,707.968,0
56,0.4666666666666667,1,1701.538,718.462,1
57,0.475,1,1695.845,707.968,0
58,0.48333333333333334,1,1694.265,709.643,0
59,0.49166666666666664,1,1692.454,712.424,0
60,0.5,1,1689.146,717.082,0
61,0.5083333333333333,1,1684.562,728.180,0
62,0.5166666666666667,1,1681.712,734.956,0
63,0.525,1,1679.277,742.290,0
64,0.5333333333333333,1,1684.615,753.846,1
65,0.5416666666666666,1,1676.968,747.882,0
66,0.55,1,1676.073,748.912,0
67,0.5583333333333333,1,1675.728,749.240,0
68,0.5666666666666667,1,1674.889,750.213,0
69,0.575,1,1675.074,752.857,0
70,0.5833333333333334,1,1675.168,755.091,0
71,0.5916666666666667,1,1675.549,758.590,0
72,0.6,1,1680.000,764.615,1
73,0.6083333333333333,1,1675.651,761.332,0
74,0.6166666666666667,1,1675.435,761.885,0
75,0.625,1,1672.513,763.268,0
76,0.6333333333333333,1,1668.395,764.978,0
77,0.6416666666666667,1,1665.768,768.017,0
78,0.65,1,1658.339,773.268,0
79,0.6583333333333333,1,1658.380,775.418,0
80,0.6666666666666666,1,1676.923,781.538,1
81,0.675,1,1668.300,774.997,0
82,0.6833333333333333,1,1671.809,773.643,0
83,0.6916666666666667,1,1674.397,774.151,0
84,0.7,1,1674.082,775.261,0
85,0.7083333333333334,1,1673.970,778.626,0
86,0.7166666666666667,1,1673.135,784.746,0
87,0.725,1,1672.295,788.373,0
88,0.7333333333333333,1,1673.846,796.923,1
89,0.7416666666666667,1,1668.906,793.670,0
90,0.75,1,1667.807,793.968,0
91,0.7583333333333333,1,1667.786,794.920,0
92,0.7666666666666667,1,1668.386,795.393,0
93,0.775,1,1666.849,795.076,0
94,0.7833333333333333,1,1665.795,795.526,0
95,0.7916666666666666,1,1678.462,800.000,1
96,0.8,1,1656.247,792.571,0
97,0.8083333333333333,1,1659.097,796.140,0
98,0.8166666666666667,1,1667.519,803.020,0
99,0.825,1,1689.331,819.559,0
100,0.8333333333333334,1,1698.868,828.164,0
101,0.8416666666666667,1,1703.223,833.656,0
102,0.85,1,1703.244,837.247,0
103,0.8583333333333333,1,1691.059,835.553,0
104,0.8666666666666667,1,1684.767,834.485,0
105,0.875,1,1675.385,832.308,1
106,0.8833333333333333,1,1677.202,832.610,0
107,0.8916666666666667,1,1677.177,832.377,0
108,0.9,1,1677.121,832.206,0
109,0.9083333333333333,1,1677.284,832.196,0
110,0.9166666666666666,1,1677.284,832.196,0
