frame,time_sec,tracked,x,y,anchor
20,0.166666667,0,,,0
21,0.175,0,,,0
22,0.183333333,0,,,0
23,0.191666667,0,,,0
24,0.2,1,1290.769,609.231,1
25,0.208333333,1,1303.935,605.742,0
26,0.216666667,1,1305.229,605.399,0
27,0.225,1,1311.404,602.903,0
28,0.233333333,1,1320.403,599.436,0
29,0.241666667,1,1328.802,597.191,0
30,0.25,1,1348.187,590.605,0
31,0.258333333,1,1355.008,590.177,0
32,0.266666667,1,1341.538,606.154,1
33,0.275,1,1354.15,596.553,0
34,0.283333333,1,1351.096,600.34,0
35,0.291666667,1,1348.235,604.114,0
36,0.3,1,1351.039,603.004,0
37,0.308333333,1,1352.537,607.047,0
38,0.316666667,1,1357.909,606.208,0
39,0.325,1,1369.637,599.019,0
40,0.333333333,1,1373.846,610.769,1
41,0.341666667,1,1381.832,602.965,0
42,0.35,1,1386.193,602.227,0
43,0.358333333,1,1386.97,604.447,0
44,0.366666667,1,1390.408,606.296,0
45,0.375,1,1393.09,608.364,0
46,0.383333333,1,1397.78,611.608,0
47,0.391666667,1,1407.028,618.873,0
48,0.4,1,1412.308,620,1
49,0.408333333,1,1415.93,619.858,0
50,0.416666667,1,1418.907,620.667,0
51,0.425,1,1419.306,619.488,0
52,0.433333333,1,1418.432,620.104,0
53,0.441666667,1,1419.649,620.854,0
54,0.45,1,1421.207,621.861,0
55,0.458333333,1,1422.028,624.054,0
56,0.466666667,1,1441.538,626.154,1
57,0.475,1,1437.792,624.637,0
58,0.483333333,1,1441.09,624.844,0
59,0.491666667,1,1444.624,624.528,0
60,0.5,1,1444.21,623.077,0
61,0.508333333,1,1445.299,623.751,0
62,0.516666667,1,1446.893,624.911,0
63,0.525,1,1448.557,625.247,0
64,0.533333333,1,1461.538,638.462,1
65,0.541666667,1,1460.016,638.729,0
66,0.55,1,1462.583,641.754,0
67,0.558333333,1,1464.968,644.914,0
68,0.566666667,1,1464.873,645.655,0
69,0.575,1,1466.028,645.772,0
70,0.583333333,1,1468.057,645.869,0
71,0.591666667,1,1470.756,647.332,0
72,0.6,1,1481.538,646.154,1
73,0.608333333,1,1483.422,650.263,0
74,0.616666667,1,1486.98,654.522,0
75,0.625,1,1489.703,656.48,0
76,0.633333333,1,1489.905,657.618,0
77,0.641666667,1,1490.601,659.337,0
78,0.65,1,1491.799,660.416,0
79,0.658333333,1,1492.939,661.735,0
80,0.666666667,1,1500,667.692,1
81,0.675,1,1502.39,668.448,0
82,0.683333333,1,1504.734,670.078,0
83,0.691666667,1,1506.818,671.409,0
84,0.7,1,1507.398,671.7,0
85,0.708333333,1,1508.635,672.825,0
86,0.716666667,1,1511.509,675.749,0
87,0.725,1,1514.538,677.95,0
88,0.733333333,1,1523.077,686.154,1
89,0.741666667,1,1525.718,686.739,0
90,0.75,1,1525.505,683.232,0
91,0.758333333,1,1526.219,682.33,0
92,0.766666667,1,1525.981,681.797,0
93,0.775,1,1524.664,679.019,0
94,0.783333333,1,1526.902,680.848,0
95,0.791666667,1,1524.615,687.692,1
96,0.8,1,1530.852,684.284,0
97,0.808333333,1,1537.912,693.205,0
98,0.816666667,1,1538.007,699.052,0
99,0.825,1,1539.505,702.943,0
100,0.833333333,1,1541.773,708.265,0
101,0.841666667,1,1542.324,710.828,0
102,0.85,1,1544.158,712.902,0
103,0.858333333,1,1545.421,713.878,0
104,0.866666667,1,1545.396,711.923,0
105,0.875,1,1555.385,724.615,1
106,0.883333333,1,1553.089,722.404,0
107,0.891666667,1,1554.471,724.198,0
108,0.9,1,1556.386,727.224,0
109,0.908333333,1,1555.925,725.41,0
110,0.916666667,1,1555.385,726.154,1
111,0.925,1,1555.753,718.783,0
112,0.933333333,1,1554.732,712.685,0
113,0.941666667,1,1554.27,715.131,0
114,0.95,1,1554.927,723.642,0
115,0.958333333,1,1555.385,724.615,1
