frame,time_sec,tracked,x,y,anchor
20,0.16666666666666666,0,,,0
21,0.175,0,,,0
22,0.18333333333333332,0,,,0
23,0.19166666666666668,0,,,0
24,0.2,1,1136.923,680.000,1
25,0.20833333333333334,1,1149.828,667.433,0
26,0.21666666666666667,1,1152.110,666.788,0
27,0.225,1,1154.268,666.771,0
28,0.23333333333333334,1,1157.322,665.622,0
29,0.24166666666666667,1,1162.623,666.995,0
30,0.25,1,1167.871,666.072,0
31,0.25833333333333336,1,1171.604,663.588,0
32,0.26666666666666666,1,1181.538,666.154,1
33,0.275,1,1185.932,661.055,0
34,0.2833333333333333,1,1189.653,660.487,0
35,0.2916666666666667,1,1193.416,661.159,0
36,0.3,1,1195.765,661.252,0
37,0.30833333333333335,1,1199.150,663.628,0
38,0.31666666666666665,1,1203.063,663.777,0
39,0.325,1,1207.070,663.996,0
40,0.3333333333333333,1,1210.769,667.692,1
41,0.3416666666666667,1,1218.627,667.141,0
42,0.35,1,1222.864,672.250,0
43,0.35833333333333334,1,1226.936,674.606,0
44,0.36666666666666664,1,1230.727,675.449,0
45,0.375,1,1235.048,676.301,0
46,0.38333333333333336,1,1242.225,675.307,0
47,0.39166666666666666,1,1247.754,675.606,0
48,0.4,1,1256.923,673.846,1
49,0.4083333333333333,1,1255.124,678.870,0
50,0.4166666666666667,1,1256.118,680.276,0
51,0.425,1,1256.165,681.681,0
52,0.43333333333333335,1,1255.644,682.998,0
53,0.44166666666666665,1,1256.893,684.086,0
54,0.45,1,1257.884,686.481,0
55,0.4583333333333333,1,1260.850,688.057,0
56,0.4666666666666667,1,1276.923,689.231,1
57,0.475,1,1270.659,691.581,0
58,0.48333333333333334,1,1272.881,692.319,0
59,0.49166666666666664,1,1276.580,694.656,0
60,0.5,1,1279.066,697.405,0
61,0.5083333333333333,1,1283.592,699.778,0
62,0.5166666666666667,1,1292.668,705.062,0
63,0.525,1,1298.136,705.725,0
64,0.5333333333333333,1,1306.154,700.000,1
65,0.5416666666666666,1,1307.767,700.380,0
66,0.55,1,1309.076,698.035,0
67,0.5583333333333333,1,1311.893,696.133,0
68,0.5666666666666667,1,1314.742,695.557,0
69,0.575,1,1317.759,696.647,0
70,0.5833333333333334,1,1324.367,698.204,0
71,0.5916666666666667,1,1326.709,701.262,0
72,0.6,1,1324.615,712.308,1
73,0.6083333333333333,1,1326.939,711.881,0
74,0.6166666666666667,1,1326.054,714.585,0
75,0.625,1,1327.912,717.526,0
76,0.6333333333333333,1,1331.354,719.186,0
77,0.6416666666666667,1,1335.036,720.645,0
78,0.65,1,1342.890,723.938,0
79,0.6583333333333333,1,1344.612,724.977,0
80,0.6666666666666666,1,1340.000,723.077,1
81,0.675,1,1341.304,725.879,0
82,0.6833333333333333,1,1340.030,726.403,0
83,0.6916666666666667,1,1343.811,727.409,0
84,0.7,1,1348.644,727.569,0
85,0.7083333333333334,1,1353.644,728.191,0
86,0.7166666666666667,1,1363.719,727.955,0
87,0.725,1,1366.243,729.633,0
88,0.7333333333333333,1,1358.462,738.462,1
89,0.7416666666666667,1,1363.551,737.944,0
90,0.75,1,1361.553,740.377,0
91,0.7583333333333333,1,1360.032,742.148,0
92,0.7666666666666667,1,1361.247,743.606,0
93,0.775,1,1363.236,743.347,0
94,0.7833333333333333,1,1365.863,744.896,0
95,0.7916666666666666,1,1373.846,756.923,1
96,0.8,1,1374.747,746.532,0
97,0.8083333333333333,1,1376.213,751.056,0
98,0.8166666666666667,1,1377.485,753.100,0
99,0.825,1,1377.660,753.505,0
100,0.8333333333333334,1,1377.717,754.330,0
101,0.8416666666666667,1,1378.245,756.806,0
102,0.85,1,1379.293,758.541,0
103,0.8583333333333333,1,1381.613,760.699,0
104,0.8666666666666667,1,1383.784,770.718,0
105,0.875,1,1386.154,772.308,1
106,0.8833333333333333,1,1389.290,773.015,0
107,0.8916666666666667,1,1390.326,774.834,0
108,0.9,1,1391.030,773.529,0
109,0.9083333333333333,1,1391.191,773.569,0
110,0.9166666666666666,1,1387.692,772.308,1
