frame,time_sec,tracked,x,y,anchor
20,0.16666666666666666,0,,,0
21,0.175,0,,,0
22,0.18333333333333332,0,,,0
23,0.19166666666666668,0,,,0
24,0.2,1,1700.000,653.846,1
25,0.20833333333333334,1,1697.937,650.283,0
26,0.21666666666666667,1,1697.996,649.799,0
27,0.225,1,1699.141,648.904,0
28,0.23333333333333334,1,1698.779,648.725,0
29,0.24166666666666667,1,1697.308,649.861,0
30,0.25,1,1696.746,650.324,0
31,0.25833333333333336,1,1695.988,650.946,0
32,0.26666666666666666,1,1695.385,652.308,1
33,0.275,1,1699.118,648.664,0
34,0.2833333333333333,1,1702.837,646.760,0
35,0.2916666666666667,1,1709.916,642.697,0
36,0.3,1,1714.187,641.221,0
37,0.30833333333333335,1,1719.405,642.062,0
38,0.31666666666666665,1,1723.685,642.726,0
39,0.325,1,1726.730,644.682,0
40,0.3333333333333333,1,1733.846,649.231,1
41,0.3416666666666667,1,1735.588,649.225,0
42,0.35,1,1738.494,650.060,0
43,0.35833333333333334,1,1741.940,650.570,0
44,0.36666666666666664,1,1745.750,650.182,0
45,0.375,1,1749.050,649.934,0
46,0.38333333333333336,1,1752.918,650.037,0
47,0.39166666666666666,1,1755.098,649.979,0
48,0.4,1,1756.923,649.231,1
49,0.4083333333333333,1,1757.401,649.695,0
50,0.4166666666666667,1,1758.170,649.052,0
51,0.425,1,1759.428,647.462,0
52,0.43333333333333335,1,1761.782,644.783,0
53,0.44166666666666665,1,1763.729,642.658,0
54,0.45,1,1765.196,639.619,0
55,0.4583333333333333,1,1766.645,638.871,0
56,0.4666666666666667,1,1769.231,640.000,1
57,0.475,1,1768.362,640.039,0
58,0.48333333333333334,1,1774.698,642.192,0
59,0.49166666666666664,1,1782.048,642.610,0
60,0.5,1,1787.178,642.127,0
61,0.5083333333333333,1,1801.424,640.295,0
62,0.5166666666666667,1,1802.510,639.684,0
63,0.525,1,1790.503,640.412,0
64,0.5333333333333333,1,1780.000,641.538,1
65,0.5416666666666666,1,1783.834,642.009,0
66,0.55,1,1780.272,642.925,0
67,0.5583333333333333,1,1781.612,643.438,0
68,0.5666666666666667,1,1781.947,643.923,0
69,0.575,1,1782.491,644.539,0
70,0.5833333333333334,1,1782.274,644.794,0
71,0.5916666666666667,1,1780.956,644.733,0
72,0.6,1,1776.923,643.077,1
73,0.6083333333333333,1,1779.955,644.724,0
74,0.6166666666666667,1,1780.650,645.151,0
75,0.625,1,1781.974,645.739,0
76,0.6333333333333333,1,1783.654,646.535,0
77,0.6416666666666667,1,1786.670,648.295,0
78,0.65,1,1787.627,648.891,0
79,0.6583333333333333,1,1787.055,648.980,0
80,0.6666666666666666,1,1784.615,652.308,1
81,0.675,1,1786.554,648.817,0
82,0.6833333333333333,1,1786.222,648.414,0
83,0.6916666666666667,1,1787.134,648.922,0
84,0.7,1,1788.432,649.406,0
85,0.7083333333333334,1,1790.011,650.612,0
86,0.7166666666666667,1,1793.531,652.984,0
87,0.725,1,1795.287,654.068,0
88,0.7333333333333333,1,1795.385,655.385,1
89,0.7416666666666667,1,1797.894,654.929,0
90,0.75,1,1798.428,655.315,0
91,0.7583333333333333,1,1798.923,655.943,0
92,0.7666666666666667,1,1799.401,656.746,0
93,0.775,1,1800.338,658.772,0
94,0.7833333333333333,1,1800.760,659.544,0
95,0.7916666666666666,1,1798.462,658.462,1
96,0.8,1,1801.823,660.053,0
97,0.8083333333333333,1,1802.191,659.933,0
98,0.8166666666666667,1,1802.398,659.831,0
99,0.825,1,1802.865,660.690,0
100,0.8333333333333334,1,1803.048,661.673,0
101,0.8416666666666667,1,1803.288,663.144,0
102,0.85,1,1803.583,665.975,0
103,0.8583333333333333,1,1803.734,667.395,0
104,0.8666666666666667,1,1803.686,668.254,0
105,0.875,1,1801.538,667.692,1
106,0.8833333333333333,1,1803.468,669.262,0
107,0.8916666666666667,1,1802.557,669.434,0
108,0.9,1,1801.958,669.725,0
109,0.9083333333333333,1,1800.488,670.703,0
110,0.9166666666666666,1,1792.308,669.231,1
